id,heartbeat_signals,label
172,"0.06532930184487185,0.06992748542127925,0.07577771243318535,0.08231515241526899,0.08892306152141147,0.09505316855242868,0.1002662498113212,0.1042219019717871,0.1066642753427075,0.10742835707979667,0.10645186723208175,0.1037637082292164,0.09944592380745396,0.09360559956766076,0.08639006030941943,0.07802995647597893,0.06885382691166214,0.05922692762724582,0.04944128845090706,0.03963247407306733,0.02978911723583147,0.019846843638220923,0.009796683914024856,-0.00026477488180842723,-0.010151912563029872,-0.019628795491943213,-0.028426493631108274,-0.03624338747366043,-0.04276325026148614,-0.04771922340601645,-0.05097392558097952,-0.05256263071995859,-0.05266513841770293,-0.051535359622604915,-0.04944136911498398,-0.04665199770191861,-0.04344944193330119,-0.04013382087179834,-0.0369938133903992,-0.03425270912219003,-0.03201538879683696,-0.03025830509363625,-0.028872881371856007,-0.027742748651837762,-0.026806687710279276,-0.026084994540074735,-0.02568020892998718,-0.025776052268658006,-0.026625728818648497,-0.028513911514108897,-0.03169071186592071,-0.03630578115664029,-0.04236255376243611,-0.049705235759474886,-0.05804907500316647,-0.06706341641438007,-0.07648104767245639,-0.08617389893850524,-0.09614042191710681,-0.10641602234095393,-0.11697225418783042,-0.12767212599529398,-0.13827935689704757,-0.14847984484751303,-0.1578736594286413,-0.16596832246941096,-0.17222820619435053,-0.1761975087785903,-0.1776314399122313,-0.17654711510473553,-0.17315122572368968,-0.1676859957136571,-0.16028376711735126,-0.15092000527820265,-0.13948440387675964,-0.1259163021578832,-0.11030142766987672,-0.09287215678226024,-0.07393227286934123,-0.053785160776233076,-0.032720909507861384,-0.011056061564182817,0.010829729426671153,0.03250555065800703,0.053554128350365715,0.07364691789988759,0.0925916178073467,0.11033171908878939,0.12690787052510966,0.14239786705507312,0.15686520789812897,0.17033114683090278,0.18277354014856487,0.194136360768219,0.20434249093165924,0.21331150228102636,0.2209915120785595,0.22739630671580804,0.23262922562150767,0.23685900161219306",1
180,"-0.007077479079821494,-0.006499268232499356,-0.005795086346639666,-0.005040645423568094,-0.0042977589418970175,-0.003585302454705161,-0.0028753584707416624,-0.0021152773613220266,-0.001255906682968655,-0.0002672194557880869,0.0008741649610015251,0.002203310060604785,0.003764868166691887,0.005584157139871218,0.007637197143347915,0.009848767843182907,0.01211665233926612,0.01434083663179081,0.01643513678464048,0.018327665497966134,0.01995755481523262,0.021283917725660073,0.022298077629428703,0.023030137248242266,0.023532003857671818,0.023843246173196678,0.023956691996363785,0.02381547346244363,0.023336801982567823,0.02245088085393547,0.02112089234778218,0.01934416824811816,0.017136114353200782,0.014515580216729412,0.011499521279014532,0.008122244649176436,0.0044691478102458215,0.0007015886425129347,-0.0029632334691019335,-0.006313309089903546,-0.009211232424925109,-0.011627266202836078,-0.013626709117180516,-0.015319511051702192,-0.016804276346318592,-0.01812977862978843,-0.019299595091623323,-0.020303812269212018,-0.0211454164018737,-0.02182948571864668,-0.022337212903648068,-0.02262446997549078,-0.022667873572282254,-0.022520441184542384,-0.02232675456024663,-0.022269268438116996,-0.022486130651567265,-0.023012710491344596,-0.023780114230651017,-0.024653456449752864,-0.025483735496348137,-0.026145930936217615,-0.026557941507900584,-0.02667486121297169,-0.026472177918294648,-0.02592761025533255,-0.025015079110059874,-0.023707588412106018,-0.02199464136936119,-0.019903079124533263,-0.01750897716734756,-0.014917375532590649,-0.012225483428201317,-0.009496427284677977,-0.0067673858938244735,-0.004072790403566534,-0.001455811527779502,0.0010437359145940156,0.003402419300378559,0.005612749281744586,0.007667448206860841,0.009546909779572815,0.011216369578332747,0.012642132335535433,0.013815462375028384,0.01477007709372749,0.01557131122856062,0.016276477428204025,0.016895767507163442,0.017393481502111827,0.017735447561069984,0.017946832684134745,0.01812352758592317,0.018392439196728894,0.018843593644287365,0.019498279461733256,0.020312965365817254,0.02120952045773336,0.02208705136937697,0.022837458583325976",2
227,"-0.22155769020487437,-0.19352404259252998,-0.16804019190340447,-0.1445389827570558,-0.12251311091352246,-0.10166792717137119,-0.08192720598934633,-0.06333949288086105,-0.045964971396585286,-0.029794398359008767,-0.014718527311403218,-0.0005454006289091762,0.012944620533544393,0.025940329529783313,0.03857229910346316,0.050923860114550745,0.06305814546954869,0.07502432220244803,0.08684277373622451,0.09849284523588486,0.10992604948926687,0.1210851463870275,0.13190641638270106,0.1422978697935804,0.15212335341736638,0.1612117256705876,0.16939522737600043,0.17655580169508878,0.18267294679400792,0.1878645705315668,0.1924075591603278,0.1967060791720272,0.2012053985157819,0.2062665397271236,0.21204978467985502,0.21843510407726452,0.22500240115301706,0.23106670877362712,0.23576770969207017,0.2381861333237576,0.23747591393133816,0.23299092152208056,0.22439336416238365,0.21170055552610179,0.1952373075487439,0.17548337689600602,0.15288361255733895,0.12771611564733676,0.10010256927390238,0.07014446382050843,0.0381042386243815,0.004528425652178258,-0.029734633638334618,-0.06362896247095651,-0.09608396792407148,-0.12629488003193678,-0.1540249831940197,-0.17979793064190086,-0.20482290449157659,-0.23060483513740682,-0.2583682445398432,-0.2885563254381587,-0.3206238184868333,-0.3531893524012759,-0.38442380643224205,-0.41249273081031457,-0.4359073822604367,-0.4537451978873157,-0.4657425348664199,-0.47226043767861214,-0.47409146623899256,-0.47212778251135723,-0.4669899425789341,-0.4587822425024355,-0.4470763629280554,-0.4311143705681315,-0.4101138789419616,-0.3835439011706432,-0.3512787785726832,-0.3136139689341515,-0.27117332580248,-0.22477161678920887,-0.17527790573085533,-0.12351016896648992,-0.07016451477167363,-0.01578336672270697,0.039238631915107236,0.0946131342671157,0.150095742910892,0.2054186723653333,0.26024325070918164,0.31415464346052446,0.3667150344620287,0.41754043513791506,0.46634930629362814,0.5129337967360674,0.557096076918236,0.5986109785319578,0.6372604140652449,0.6728857594971942",1
276,"0.06666876328081947,0.03635159220891512,0.01164468458592588,-0.013810661521339779,-0.04063389412280516,-0.05731535605931756,-0.05941795536277644,-0.04514179138830726,-0.03984987234227852,-0.03882548800248439,-0.03443229576489537,-0.02639657490431871,-0.007917819408651966,0.007577333940446615,0.01402071302201939,0.01972451813794021,0.02413048514881677,0.02461863089875048,0.024748016806311515,0.02432852515519593,0.02388434195410498,0.02541891651395918,0.028215953619162598,0.027243922621788208,0.024895297732488136,0.025212756865798908,0.02492785553541252,0.022236530297606708,0.018150465340596472,0.01918346068613673,0.02268105221718518,0.02687453102448681,0.029284277455850743,0.029723230686343735,0.03041119101241519,0.03186056445550487,0.034141701961033534,0.036463306132484545,0.03710003507895012,0.038677226231248564,0.03901993327481286,0.037841429149609425,0.036732840107080986,0.033011242046857646,0.03184773542966977,0.033906637078159454,0.032785957983456036,0.028591575887170963,0.018895852981211374,0.0077252273986903736,-0.007053836152637674,-0.025668186715284397,-0.04478460856648102,-0.06715658173308328,-0.0816921004780316,-0.08209043364759774,-0.10251852915520737,-0.11503833492733898,-0.11396617066150358,-0.10109504842301814,-0.0988551183978584,-0.0979148007538338,-0.09174317144261673,-0.08162415883647686,-0.08039390072722588,-0.07093711129529238,-0.05988573095440672,-0.05137756595237719,-0.03733675061669242,-0.01878170888758525,-0.004625312637725212,0.005451080466016667,0.015790780046168518,0.025880974446025183,0.034742923049088215,0.03785074009994158,0.03999765111424777,0.040786151084898484,0.0409634141465198,0.04331080297576184,0.04546064567113699,0.04602534193711237,0.04430934463324179,0.04345821825921922,0.041888579312176474,0.037195050333794444,0.03422791668347805,0.029464805784507414,0.024541179053437723,0.01963994826446308,0.01623555286465664,0.011620775043383366,0.007700239343570753,0.0062706582900173,0.004965682792628212,0.003252066052556235,-9.031875459736272e-05,-0.0014932285213660468,-0.003300196600244415,-0.00862421997680736",2
30,"0.12350244504838415,0.12303089035333481,0.12147644546779801,0.11897572150262281,0.11573126090837849,0.11197778169040462,0.10792887873603141,0.10373162676434122,0.09945065756292015,0.09508943047668084,0.0906359876532693,0.08609750759684831,0.08149530002991145,0.07683226044599056,0.07207046301166564,0.06714631772242297,0.06200965477598985,0.056650721861244535,0.05109710649317745,0.045392167786869386,0.039569786215354785,0.033639406222513824,0.027579743721416472,0.02134396793496851,0.01488064659763233,0.00816445390385645,0.0012145510893970535,-0.0059164020892321645,-0.01317592659775113,-0.02053423031792012,-0.027978480250047455,-0.035490404596071334,-0.04303212092457542,-0.05055390359677503,-0.05801066143791589,-0.06537495012555672,-0.07263368428394501,-0.07977117830993052,-0.08675611444495157,-0.09355215164550201,-0.10014690730444453,-0.10656813573343293,-0.11285491182956164,-0.11899733756720876,-0.12489395674380444,-0.13036109871469526,-0.13518362711956455,-0.1391633665854234,-0.1421384793639785,-0.1439795566853419,-0.14458800867293098,-0.14391382013132747,-0.14198570046149495,-0.13892141563479066,-0.13489831231879523,-0.13009342330497176,-0.1246363872122731,-0.11860297900106098,-0.11204543687606794,-0.10502783669042315,-0.09764047263376607,-0.08999251862128799,-0.08219688868307107,-0.0743610296866829,-0.06657822490898546,-0.058914524082226194,-0.05139237230124949,-0.04399669335536316,-0.03670922865237003,-0.029548569621486553,-0.022580712058177466,-0.01588544145920545,-0.009504838016553663,-0.0034167924767340985,0.0024455947178467774,0.008148570197093585,0.013728791899448423,0.019199562286970284,0.024576644078025622,0.02989487269700697,0.03520729168632197,0.04057426255797536,0.04604713896464607,0.051646269622756424,0.057345123964633204,0.06308349397953816,0.06880964487448349,0.07452092080598738,0.08026907254731064,0.08613317391104192,0.09219306850074971,0.09852032585179615,0.1051709548696923,0.11216062625030787,0.11943314725483689,0.1268349691904942,0.1340985623338644,0.14082110007854487,0.1464688097842466,0.15045203864980694",0
435,"-0.0040918904277932044,-0.003047844255495813,-0.0016662917983329972,0.00016745976296524134,0.0022741424565362323,0.004607585358406871,0.006849732322418395,0.008765542862377879,0.010779211598120342,0.013545669617181316,0.017145205838761196,0.021307549093944778,0.026176334065613094,0.031757153437093344,0.03734913669881028,0.042035432711736154,0.04444028445322981,0.04288568782556661,0.03787275613890112,0.03231950812309882,0.028283014801534126,0.025724811913447318,0.023896596566920725,0.022240446554667316,0.02042596431646635,0.018357266842822753,0.016086738005045273,0.01347024745801826,0.010171578694678877,0.0062143346145071485,0.0020969847069874613,-0.001847450598370444,-0.005866634668982192,-0.010010380371562419,-0.013538646408813824,-0.01564141389234213,-0.016348501185083124,-0.01645351337064478,-0.016670852953133995,-0.017207401859455906,-0.017762323570795505,-0.017972038437657427,-0.01791361206775284,-0.017723849640444052,-0.01723328603837075,-0.016680226672222236,-0.016557092081834555,-0.01667147331542545,-0.016637418562095607,-0.016996220016492182,-0.018647986457740726,-0.02126794284422566,-0.024079685912509974,-0.027026925443257063,-0.030197722779146105,-0.03348394005447229,-0.036636763292814636,-0.039439438425263,-0.04185387667472226,-0.04380073132155329,-0.04546406131938009,-0.04709064174396038,-0.04819175152044104,-0.048153005677296495,-0.04711586067916644,-0.04508844653092746,-0.04147785245550538,-0.03636616156759877,-0.030740796423145672,-0.02530581895227861,-0.020451349197145294,-0.016905225382003702,-0.014949500740084859,-0.013754056847828905,-0.01232821178020975,-0.010393899772211126,-0.008060302669434097,-0.005789788811664601,-0.0040455390783736,-0.002511534110228114,-0.0008258810489094742,0.0007738970208474028,0.002154577458081397,0.00336267993077842,0.004041160266707741,0.0042592878987167265,0.004880106752381166,0.006528520711796187,0.009319136339176262,0.01311704735923526,0.017663053961039718,0.022914475184545605,0.029106851034735648,0.036392712500388974,0.04475073315864343,0.05396290533430237,0.06372627473375306,0.07381120661458335,0.08430831098833341,0.09366374761870969",1
231,"0.05317503537071583,0.05029364200067535,0.04661722434801367,0.04398090649135768,0.04234617617371897,0.0409859237130735,0.03951985025541287,0.037747643378738725,0.03503710259487139,0.030848890621538283,0.025618765715917674,0.020392081805658366,0.01613393724375281,0.012981301545934007,0.009915735514024443,0.006186536389469394,0.0021963154678048408,-0.0014767106421531423,-0.004759164219063264,-0.007617212846782739,-0.009532619422005173,-0.009769028642746022,-0.008231642416029153,-0.005904156521501794,-0.004227614560849885,-0.004239476685116178,-0.005821008626558724,-0.0076054731000922,-0.008361963370412576,-0.008275630399868075,-0.00873260760679577,-0.010714025188642229,-0.013661245152923926,-0.016153470076480533,-0.01734650888258933,-0.017644948682209366,-0.018041587808153153,-0.01938291552067843,-0.02237398267816991,-0.02697247286592787,-0.031849265134501356,-0.03533535523574598,-0.036576483446765326,-0.036041932830737214,-0.03519210781028033,-0.034941796924690335,-0.03494120602041083,-0.034354116857217495,-0.0329606912057744,-0.03136059538467513,-0.030172968567619765,-0.02942230290800059,-0.02851354643602526,-0.026630273732052026,-0.02364407996210953,-0.020243657214265173,-0.0171239744904038,-0.014652554291144773,-0.012723229259529914,-0.01069681864697436,-0.008341917467474022,-0.006443431806666108,-0.005425862606359327,-0.004638721263902731,-0.0034942562425955698,-0.002274440280815221,-0.0017867740940016308,-0.0020307177757236533,-0.002210943939251725,-0.0021890159164917183,-0.0025167988369661637,-0.003173570554209512,-0.003475052667396117,-0.0034232058687719558,-0.004074538688024945,-0.006174988358196493,-0.00913646798167407,-0.011690270603726002,-0.013174682103044774,-0.01393153703519616,-0.014519519849155713,-0.014813814610952367,-0.013923179271520578,-0.010906726036940498,-0.0056747902032702885,0.0005563079591627274,0.005683464902154142,0.008428464307536437,0.010023281263806999,0.012687326662068746,0.016893731393839484,0.021611952242092988,0.025938370659302004,0.03032377444548054,0.036234479014123605,0.04434944077058117,0.05362781830301146,0.06222500235302618,0.06869860432098127,0.07240855910915076",1
350,"-0.42835549747634977,-0.406629305191821,-0.37459521596554785,-0.3375529460382494,-0.2960889694235926,-0.24889660219319468,-0.19629769206149955,-0.1470733355756476,-0.11061791898694666,-0.08203206677895196,-0.05225443088577229,-0.017584748755220328,0.0218608502640541,0.06250332529568609,0.09962167637983771,0.1311154759452623,0.15684034931744095,0.1758786128558517,0.18700479542535875,0.19118361304802883,0.19097214326527479,0.188544886171444,0.1850232698220195,0.1799648549262764,0.1736083364433718,0.16748710367117953,0.16157930034272983,0.1558346208959172,0.15034266174343308,0.14417146906543704,0.13617513561235667,0.1256277905237843,0.11318432570391923,0.09985211030609625,0.08732017362987793,0.07733836473455163,0.06986043741547711,0.0643341473668431,0.06276777868016671,0.06721075919865978,0.07416599724820964,0.07551590263260217,0.06470761169235602,0.04108801632946753,0.009518784910841807,-0.025092775286373936,-0.058310406380786564,-0.08390870772906664,-0.09852213217068581,-0.1051418932398644,-0.10615138539160071,-0.10277117647682686,-0.09827084234637506,-0.09405131007330486,-0.08902141922031517,-0.08277460784080726,-0.07713823312111215,-0.07277051088831046,-0.0675519884896762,-0.0591497102274437,-0.04653725339361128,-0.029476042265287328,-0.008364480429594569,0.014692838798481447,0.036828446496044706,0.05509527176147078,0.06789029976481788,0.07601095959775823,0.08176175922220548,0.08640057618079676,0.08928398951692258,0.08974053042509757,0.08828348730510431,0.08608732845378668,0.08375978996967347,0.08067582453303221,0.07625855679976479,0.06927875434334735,0.059114350774627095,0.048351517245826904,0.042527043142110525,0.044816127113142576,0.05065655285383011,0.05247001040002582,0.045987094484710486,0.03114006532198052,0.01130862852250597,-0.009007776506524345,-0.025655575940822767,-0.03593358971448829,-0.040732248801097715,-0.0434112732951758,-0.05036447916177461,-0.07124210316334262,-0.10838875457543434,-0.15228613374207672,-0.19026356163545388,-0.212219200109116,-0.2140997778721857,-0.2040364050692537",2
338,"0.014112445701378928,0.01406699929872747,0.013518392645139501,0.012592990767652537,0.011419268537315869,0.010101734288526773,0.008727564398350929,0.007390674965035485,0.006195641282647758,0.00523436050392451,0.004558738130082913,0.004172792885481558,0.004043154367262838,0.004110472574425903,0.004296909866498791,0.004518519485739173,0.004700881258658904,0.004790282846415958,0.00474925516011351,0.004549152253196138,0.004167643894465792,0.0035950755758502387,0.0028351929095077263,0.0018999446895891677,0.0008057886834436888,-0.00042685218630928237,-0.001781075476655956,-0.0032566917686671325,-0.004867804002215425,-0.0066080049529932215,-0.008410511936479525,-0.010139761615035778,-0.011629611107596999,-0.01273456642811353,-0.013365918241257674,-0.013502489710269013,-0.013185438959519551,-0.012497846174529207,-0.011540161582730354,-0.010408491324691353,-0.009187045180543214,-0.007947632461314502,-0.00675531773547813,-0.005675627955467111,-0.004784972016227693,-0.004167755816074471,-0.003895468508819385,-0.003988544330076383,-0.0043880674968993436,-0.004961372467660829,-0.005551255446371733,-0.006040873103710667,-0.00639321151170406,-0.006636288905891786,-0.006815058837223942,-0.0069471273552565264,-0.007009952955118019,-0.006957553108333351,-0.006748379595242132,-0.006367686332796652,-0.00583558780682213,-0.0051980405942861525,-0.004510347711642489,-0.0038217542580103285,-0.0031634648388512397,-0.00254248435493511,-0.0019483445475951232,-0.0013783117754320555,-0.0008655008488244013,-0.0004783172100445571,-0.0002821292231118301,-0.0002888455789986574,-0.0004392957249508764,-0.000632651341436391,-0.0007712419382199694,-0.0007830269747942827,-0.0006148269188677967,-0.00022192571917780887,0.0004174598930285385,0.0012763223358692524,0.0022750650855928936,0.0033159085270305436,0.0043312627359096585,0.005310859147870144,0.00628807574310675,0.00729753604887547,0.00832540254902087,0.009283016405599188,0.010023220488595903,0.010399276479829207,0.010328179076224426,0.009815559650121049,0.008932550065201553,0.007779178805931292,0.006467053135326306,0.005124226844385644,0.0038932488970245295,0.002912439586335174,0.0022925802347294293,0.0021082152482786547",1
344,"-0.08665030258467754,-0.0791337921691963,-0.06925752811580715,-0.05903616618294419,-0.04777710801792001,-0.03622135445784247,-0.026342000967188556,-0.018942472851990355,-0.013770066450126142,-0.01043953664081812,-0.007873030691183086,-0.005564596172260572,-0.004365139888410238,-0.005030609859606863,-0.006591002559875728,-0.008081620631220296,-0.007997080483130345,-0.005677857793365479,-0.0012226489411929081,0.005331598395376419,0.01293971557577818,0.021965697125082326,0.031365540057208804,0.03831698206028178,0.04113748570684359,0.039842304608100794,0.03552360569225264,0.028337750028243958,0.020384344263243787,0.01447450407525526,0.011771834963135566,0.011897338067937663,0.014378166806466391,0.017402442052352154,0.018827256942784545,0.018797188906189394,0.01796735821655905,0.017770629998763374,0.019503220652605985,0.02323975037376337,0.02729474207165932,0.027985741655592387,0.02577402886852652,0.023961873774451053,0.01985058798217819,0.011001168175806347,-0.001655909937481173,-0.015420056931808132,-0.026174610436439552,-0.03342730766379111,-0.03683957344561291,-0.03643195211432984,-0.033650481862938966,-0.026997042869760332,-0.013343278862262414,0.00581658014949854,0.027065210603413305,0.043716857140779296,0.04951101930514632,0.04590162318484558,0.03743885704707334,0.029087463723845026,0.022933124314105213,0.018746348484063723,0.01779626079710097,0.020070858759743987,0.022733634579875366,0.02408085926431148,0.023809743004350847,0.02190597152039256,0.018865813137457964,0.016686819063001707,0.01637817552645498,0.015974995345902347,0.014678546644693445,0.01344520361034849,0.011402147726265646,0.007888867788012247,0.003432606283899353,-0.001920999068331361,-0.005460157979478561,-0.006996492028676984,-0.006948949112266498,-0.004168006793116477,0.0006955206483466453,0.005646599015431228,0.011581960682303966,0.01870811823697968,0.023986810512551686,0.024521992517165712,0.02143976803037178,0.012314259424944879,-0.008229928020606556,-0.033421836408570715,-0.05257509631753084,-0.06513417163225305,-0.07335622935538341,-0.07912547477567064,-0.08735572778400122,-0.09669827431004208",3
