id,heartbeat_signals,label
85,"-0.38911486170464415,-0.39058724991098126,-0.39169509752500753,-0.3918075222853239,-0.3912850189752263,-0.39009905966605884,-0.39001972117063255,-0.3882284763452608,-0.38105052529775507,-0.3654639428063257,-0.34649703245137986,-0.3317777882260621,-0.3216288984554658,-0.31306320728123793,-0.3041465306426366,-0.2917459735967356,-0.27655751313053273,-0.2569387589105109,-0.22924305698803513,-0.19700016342393306,-0.165991555661033,-0.1365194672034077,-0.10662932233716031,-0.07600756220959776,-0.0408981911816616,0.0016714741502915076,0.048876814973878024,0.0983292352540702,0.14709949281581797,0.1904790357911087,0.2356979444441763,0.27003101615233327,0.2884198490891976,0.30414600248843954,0.3225440610529836,0.3406471907327123,0.3619332783304029,0.3890925341102229,0.41294352878680407,0.43069809482074395,0.44965024349664706,0.4737233947048294,0.49825619987593384,0.5114381205281109,0.5083405850106102,0.5176454773988484,0.5405565848141577,0.5580582539675856,0.550337411489665,0.5108282083792866,0.4555789718557636,0.40797133989969375,0.36835340495475266,0.34061818404317035,0.31298732590194095,0.27334969331263215,0.24806127801332672,0.2584745185261919,0.29226330162485475,0.32126493829286484,0.3329632589463182,0.33486040633908615,0.3329226715703677,0.30819561195186096,0.2556640567071323,0.18074661019562493,0.10596538579752915,0.045769683025384325,-0.004118048305283534,-0.03959322473248597,-0.069458895311311,-0.10401521248980289,-0.13962710763191816,-0.17403777028862477,-0.21084290578600312,-0.2471327529230491,-0.2745447969154048,-0.2869852273698296,-0.28415942668207533,-0.2710296676933795,-0.25596161928272276,-0.24513151392876414,-0.23701068671638031,-0.22939429363928776,-0.22215602724116762,-0.21788657703570036,-0.21721549407051965,-0.21826942623033757,-0.21766708897205844,-0.21697729137351557,-0.21900709819787006,-0.2240984408757572,-0.23080853863381418,-0.2386637561697144,-0.24764200430094557,-0.2562621642863228,-0.26329340511173727,-0.2682143702112494,-0.270146709595227,-0.2721066342283789",1
131,"0.5199854600894754,0.522311670265122,0.5191137208427989,0.5100289904885402,0.49649198876804257,0.48242820987228796,0.473059948064515,0.46870934488926685,0.46728150897150866,0.467488276026103,0.4682138731607069,0.46836742733193415,0.463798480170297,0.449329705465938,0.42340241044220883,0.380265476433484,0.31312430028776217,0.24579866683402024,0.1988794023880315,0.16874881033422115,0.1470911700072082,0.12830076457263115,0.11063999208976866,0.09460072655356111,0.080810414398725,0.065993541625054,0.04554289308009338,0.018599169878333488,-0.015597110472568648,-0.06201897324346134,-0.11939544699567303,-0.17739494425707897,-0.22910701629570837,-0.2731311307227937,-0.31402834009470215,-0.358147494855967,-0.39982162410004524,-0.43333668132375913,-0.4654940299722278,-0.4948837340505977,-0.5180106190851557,-0.5369805672928747,-0.5503886340290968,-0.5602048523846703,-0.5717861360046186,-0.5891732951314224,-0.6123110777514811,-0.6295276778163172,-0.6534450430351277,-0.7048416627442234,-0.7578008920692283,-0.7912581987963978,-0.7991426576704356,-0.7927820843866696,-0.7547789831957361,-0.6988821896422488,-0.6870451274963202,-0.7249942133160483,-0.7451625490429539,-0.6841134976913145,-0.5457325088422877,-0.404660321245238,-0.3210396075370871,-0.2770354495528523,-0.22165824391971525,-0.14281281895368278,-0.061558150383316135,0.023687174665674104,0.1077247985557861,0.1667444630071105,0.18148811288503064,0.15641976181219847,0.10890247643223222,0.06347162755455804,0.04441040610050789,0.060421927201367354,0.10631313203819809,0.17077248703625542,0.23864319484374774,0.2997418295714676,0.34677342845375014,0.37360245565014266,0.38322479888194466,0.3871615075894725,0.3911631035735594,0.39312676086793896,0.3911533599712605,0.3842478436309721,0.3721377198236011,0.3558755435654089,0.3391855632454367,0.3303444915353319,0.3360352448798709,0.35568007827347664,0.38413500049901533,0.4132616760932599,0.4362985978859997,0.4528431008055115,0.46244384943408545,0.46364172570530116",2
256,"0.7971287147407644,0.8011212015235316,0.80363155615085,0.8080809834919644,0.8092398127952736,0.8057955127906569,0.8008446243086476,0.7876248832399697,0.7661741818276144,0.7394347719405803,0.7206552650801157,0.7069584729151257,0.6999590671459761,0.7002500798251461,0.6847388313130864,0.6588641412451453,0.6326871719306473,0.6059158792277952,0.6014236746491958,0.5919484035455409,0.5416786202718105,0.47535205941196645,0.3945117110530655,0.3110500095355223,0.2122561654086041,0.0986064893892836,0.009916096869434343,-0.026865280743954334,-0.0753390928727608,-0.15235986691401504,-0.19629342512530273,-0.284618718886344,-0.44427158695872565,-0.6812315888559477,-0.8857323407533622,-0.9769694454288378,-1.0040383158602424,-1.135754486306724,-1.370956161861086,-1.5635367938093268,-1.7375610991736203,-1.8210627268105601,-1.851162997597203,-1.9337060164671338,-2.042572024763889,-2.1001554218883696,-2.1172506044241586,-1.9315750945955288,-1.4785619863304758,-0.9890124084630181,-0.7575740453490509,-0.6838076932662549,-0.647669948528405,-0.6088327265629159,-0.5768759669318893,-0.5364883875883204,-0.47670973008866024,-0.40137278573265894,-0.2970438991710432,-0.1244655925898906,0.09048211713640797,0.2566406494885213,0.386713674455446,0.47206321743949003,0.5137938404643797,0.5380907989469386,0.5718747253558365,0.6110666746594468,0.6480358599205841,0.6729483875528585,0.7038697269088359,0.7088713455307349,0.6401022189418737,0.5348378868353069,0.44786885653626407,0.4059471344702826,0.36006653294013297,0.2748496242559384,0.235374572287874,0.21465176646607287,0.1910196401101194,0.19338338730745752,0.19260711627597876,0.15826342609521427,0.10386528053676025,-0.013290184597494037,-0.13370261440166925,-0.13527027571477707,-0.06851993414312735,0.06872182028781565,0.2508866678878304,0.41317167164943136,0.5260388470760592,0.6006961173039469,0.6295755757636846,0.6250691344993025,0.6168288100454595,0.6088667007610332,0.6139980105620706,0.6152210711737978",4
92,"-0.3095090425158267,-0.30860151794197344,-0.3058546973357678,-0.30127813808699555,-0.2959774968006761,-0.29097381082565354,-0.28626319708257464,-0.28184330683758574,-0.2770208663312067,-0.2709605147743218,-0.26369871589245264,-0.25439134511481204,-0.24006925082199504,-0.21813146023875016,-0.18764438921122822,-0.14813892923026406,-0.09806051062609858,-0.03798214412955006,0.021503585944916456,0.07410859716233045,0.12020911108963067,0.15977576852015188,0.19501195085885925,0.22965586385229725,0.264881712363638,0.300420824454908,0.33531478489152766,0.36817687679659383,0.39715525879418656,0.4216721932259521,0.44413080132589206,0.46421012316325816,0.47524001494855794,0.47244385923315924,0.45903474101981123,0.43308681589782794,0.38987613276738664,0.33182751558104845,0.26449991837064374,0.1889443519570855,0.11047315882334482,0.04949600052707687,0.005109550911452668,-0.03885266561960403,-0.08549233849440269,-0.12308134097129575,-0.13611364192395142,-0.12546080712266877,-0.10377202179824836,-0.0782584548759494,-0.05061972341690787,-0.016859023896750654,0.014569508073499682,0.032743757650217135,0.043437172402443394,0.0543762182037547,0.06201484478111175,0.056794699432582495,0.03728159414980407,0.015463602542986806,-0.00024912150607940553,-0.012155476896943102,-0.023332564788682328,-0.03469948273807259,-0.04506123138752566,-0.05524229536209929,-0.06619860981406081,-0.07709722053885065,-0.08632097411966168,-0.09257334694423075,-0.09588928233999963,-0.09743823388535663,-0.09803559673928397,-0.09784269654710659,-0.09703707449600066,-0.09725256383915612,-0.09955882218515286,-0.10156272776773526,-0.1010449115596749,-0.09776695951858189,-0.09266584728420621,-0.0868289069643873,-0.08069505211008485,-0.07417393547800305,-0.06674863500279885,-0.05860460533747114,-0.05022311699242804,-0.04121261245293474,-0.03083737600716681,-0.01956297531990453,-0.00945638637292516,-0.0006709343642536114,0.004979623777867953,0.005740388579943828,0.001993295466168568,-0.004882298723758907,-0.011713670711547011,-0.017173685991915974,-0.021797234896737447,-0.02713839863958986",1
88,"-0.46415430385230694,-0.46387727017188485,-0.4601243227024497,-0.45406734368132895,-0.44840088634278463,-0.4421763675669459,-0.432008664060086,-0.42159399631241795,-0.41280071245621813,-0.40775309074011495,-0.4046593260364999,-0.39448264196064725,-0.37377421248013476,-0.3461679874113448,-0.31527029319197264,-0.2785594003844691,-0.22896168415233561,-0.17246723113271392,-0.12220224256720975,-0.07696703945520458,-0.028598372965919133,0.03088826201095818,0.10099469143463286,0.17022758425463613,0.2201461514973635,0.25859538965593704,0.2901029260695748,0.3132364605186614,0.34189556560161016,0.3747055632291826,0.4024527936641662,0.42186149261949035,0.4330044797964516,0.4339672889216428,0.42520692597749365,0.4045166575888334,0.3783510571927815,0.3583599382219569,0.3439491917003671,0.33321157872442675,0.3132775456974914,0.2812038422066081,0.2439879140506151,0.19836161321475332,0.16623870179614203,0.15019286027485007,0.1427307096682664,0.15073553906871506,0.17259384673665368,0.21082531182549463,0.2707773275675773,0.3272250648727711,0.3673454654694539,0.3910187397107493,0.4025241667691255,0.3983716492913938,0.37942869106886923,0.36088173287692926,0.334523350281786,0.29088292420024675,0.24259081143816746,0.1940654934903378,0.1483643445754514,0.10790618739737567,0.07579283936319825,0.051235528845452655,0.033989543354725676,0.021604407498987482,0.009054837876217164,2.1219914664361017e-05,-0.0009113107238388762,0.00016318694612141305,2.9460407444198422e-05,-0.010853918163504728,-0.04327597643700232,-0.08751750488385711,-0.12445626883858979,-0.1445389291141632,-0.15693371299294778,-0.17205607886916963,-0.18727648610878167,-0.19649452329200134,-0.1989642413554064,-0.19888311353338212,-0.20095260626877542,-0.20568894322868653,-0.2111640214429102,-0.21644890034306408,-0.22481189465936763,-0.23503809616909555,-0.24383668890383015,-0.2484617987835822,-0.24953156128890985,-0.24905309485007388,-0.2488996866237435,-0.2498095203680274,-0.25181580349990695,-0.2540630165432972,-0.2556590575720017,-0.2571547119538977",1
206,"-0.6580450476555956,-0.6441021850643845,-0.6250809484450164,-0.6039298757874465,-0.5829792442493329,-0.5537320749157144,-0.5164611240474972,-0.4845702708597696,-0.4638370196155581,-0.446790430048307,-0.4324396855763369,-0.4222168854384061,-0.4022806755374624,-0.3674968641422113,-0.34222627968435715,-0.3256696219696352,-0.3017016289854819,-0.3014586584124429,-0.334627840962068,-0.37251223132576583,-0.4063630222368099,-0.4328969374651994,-0.44689490420889394,-0.45454924147401415,-0.45449402570481284,-0.4474204368398865,-0.4308842030460349,-0.3984395597248742,-0.358280056290628,-0.316432021188729,-0.2695244442306905,-0.22826520164956693,-0.19908221747567068,-0.1824133435506093,-0.17569828322752143,-0.1667916950459896,-0.15904431749588632,-0.15468060096713043,-0.13762134240676266,-0.10867881287118161,-0.07912012100377726,-0.050395413184524535,0.001648547105524048,0.1547066648288654,0.43607642729386104,0.7860480972294203,1.0997346934685184,1.3232583011824157,1.4892290720046886,1.6220792008089595,1.7290573993432405,1.812231655323528,1.8770632761823665,1.9210848898167556,1.9279151660483336,1.9033414711826318,1.8658871264999655,1.8237792527996584,1.787441444444759,1.7660530956854177,1.7520754826846883,1.7255283841246616,1.6587929739194405,1.5465699531327954,1.3596092708293925,1.114132585171179,0.8579096191310926,0.5974771496217399,0.2904286473584563,-0.028400732962022945,-0.2641690847719761,-0.44054123081511265,-0.5644348542923211,-0.6200889244133092,-0.6501874407857328,-0.6924445263607639,-0.7482563676998772,-0.8009523956765189,-0.8299845616047137,-0.8330081496585728,-0.8240796708002613,-0.812239855020822,-0.8115914630552208,-0.8295695607098392,-0.8462500964354824,-0.843327137040782,-0.8260256198549795,-0.8066649293741791,-0.7868608290502235,-0.7655086247371206,-0.7484882157949532,-0.7352265064559836,-0.7167981038525932,-0.6903458792536903,-0.6593071695344229,-0.6251534114252143,-0.5925889862251124,-0.5637812718910263,-0.532933227891907,-0.49982222576564056",3
271,"1.96010279636848,1.930500376173432,1.8939864010160552,1.8464994673976938,1.7757035302297244,1.6825125585261391,1.584617631803428,1.4951784408853381,1.4124904855143527,1.3269666517619514,1.23162767478227,1.1379841790216383,1.0505508768317537,0.9859114928602778,0.9439706665383358,0.8707679561702808,0.7433194779435364,0.6122026542552896,0.492674149512226,0.3732115793830064,0.2693123459150952,0.16033312219505896,0.03195871302179426,-0.06746944925102294,-0.1311364253002043,-0.18497542036984127,-0.2691125230225617,-0.4276709325273218,-0.6617866669812885,-0.9204875040413647,-1.2465557689634128,-1.6433650056882827,-2.0220087165126803,-2.2638731856999526,-2.4009435389712204,-2.49839382534563,-2.545821653606065,-2.544703087334668,-2.524094062660759,-2.4803844555522483,-2.4019804046351028,-2.2845415478816684,-2.1237480939596365,-1.9297696452712025,-1.7421090699102166,-1.5768579210457188,-1.426382213098689,-1.2808217164479359,-1.138620624908775,-0.9875198526661225,-0.8376032746547895,-0.6968500531267654,-0.5522123097194692,-0.4175349365716839,-0.3145044054155056,-0.21172984333410594,-0.1031191836977344,-0.0194914398273853,0.03839488322497886,0.07955940859914767,0.11822140075251242,0.15817788853226789,0.1998994413048834,0.24493378947793343,0.29145831143786705,0.32353788128299976,0.3403405186362375,0.3537575718274528,0.3658179039655839,0.37674774223325724,0.3913140505381856,0.4106858768932563,0.432836688470562,0.45249193554231515,0.46584544653171733,0.4713808734980688,0.4822346760266021,0.5140511998907239,0.5638475484798251,0.6211834902935927,0.6612582854409024,0.6772470171849059,0.6804971806446933,0.6773943509473865,0.6693997016239637,0.6540996103508694,0.6338581496428355,0.6103181254064363,0.5867740522327691,0.5660700748364966,0.5483906971916859,0.5355949115407201,0.5253383445903685,0.5134900113857885,0.5016391795603479,0.48858715167426126,0.47781711723319953,0.468290460624867,0.45258238212909996,0.4404301982136851",4
264,"1.7955027730801374,1.7590061750423684,1.6952380343357014,1.6092408168238412,1.4870560507207005,1.2541250131105648,0.9635115971876413,0.7560206148200658,0.6346773168996833,0.5642158738652032,0.49272039506032694,0.3844331660978684,0.24623375929856595,0.11035242477205931,-0.013824326580145652,-0.13939970470589857,-0.31123353895871175,-0.422554337678001,-0.40065150163749297,-0.34811632833132067,-0.3464591266807173,-0.3835249067349813,-0.4084226274430607,-0.4010328140669843,-0.3899464647737656,-0.418259309541819,-0.5009610505564037,-0.6228219160531325,-0.7566617558936206,-0.9037319108001354,-1.0680709971331805,-1.1910935759877455,-1.2297252210640157,-1.1466320319994336,-0.9753732047184238,-0.7898908708267367,-0.597917106757925,-0.4373412266168595,-0.3525062875602831,-0.3332852414888392,-0.33874892912397403,-0.3476355876607078,-0.35798190922334294,-0.35855312240852033,-0.3480652846309835,-0.3310879451122617,-0.31450082843754457,-0.3023611139907123,-0.2982779170505754,-0.30291704468365643,-0.3096354004454629,-0.3249299019618406,-0.3537647613937056,-0.3809245065450515,-0.39271947979006416,-0.39245285330457347,-0.38839779588314904,-0.38392048555478686,-0.36726665761618604,-0.3333323241386853,-0.2938767908175546,-0.25772316030319864,-0.22451126760707596,-0.19326256445153556,-0.16414514330988128,-0.13638771977554076,-0.09942702479816046,-0.04430685672561896,0.01656723451388825,0.0698665152970302,0.1149967340798137,0.1572839250707193,0.19975682657863392,0.2427263324812401,0.28652210886861074,0.32898737114565235,0.35826398416292315,0.37056684367585735,0.37048124168543617,0.36465073514810753,0.3546893135726875,0.3471592024247966,0.3462440690583346,0.3453861456677024,0.34108975474161407,0.3348830303150738,0.333600617701427,0.33722729889623304,0.3419611981541575,0.3436483143611606,0.3411584413622235,0.33667426189185856,0.3294505568787981,0.32193846542524274,0.3162810069201606,0.3121014157368296,0.31073247236489,0.30723425792511594,0.2998223324169601,0.29626574169614006",4
149,"0.27245317005683795,0.2585305937814447,0.24838228075375351,0.24297396915052694,0.23656820648812332,0.22787574908503244,0.2298837812827274,0.24361252501588926,0.2571549640283293,0.2704308055681526,0.2802886699177822,0.27597215512823786,0.252217212317766,0.21664027047486434,0.18371722343283758,0.16887380627331922,0.1741354009592156,0.18751776858989505,0.19216841425996128,0.18539167426943165,0.16984158294809099,0.1472602771440914,0.12315130775187322,0.10053153697155928,0.07935012720409304,0.060141845482758194,0.040002927426027124,0.01610072893211313,-0.010503333816845012,-0.035445374245105035,-0.05703510954546065,-0.07610637287678398,-0.09029433411053425,-0.09922715122893898,-0.1041668781481496,-0.11018601272941361,-0.11386904280022148,-0.12101337698546022,-0.13256475283788438,-0.14309585111746448,-0.15707123381734273,-0.17403356405788414,-0.187048521740753,-0.19515038202778326,-0.19988424565956292,-0.2040206276159724,-0.2178953297796711,-0.23636248061390314,-0.24832222324746295,-0.2619994468732868,-0.27672833500962213,-0.28528728031383543,-0.29135767189834305,-0.30204889789430533,-0.31946621669156294,-0.34078451237039536,-0.36080568821966386,-0.38093209456972066,-0.41274641021783665,-0.47671164089751666,-0.5466730698319758,-0.6014852408789866,-0.641438670043659,-0.6553177635350587,-0.6426493021909467,-0.6063512409009592,-0.5688520224564273,-0.5658660296630509,-0.6135035919224512,-0.6629560704617263,-0.6666584784288514,-0.6090315103215067,-0.483679668495266,-0.2585107335398524,0.038473900591025706,0.36241043763606556,0.721250138516605,0.9545794137862214,0.9364679206273521,0.7286780176742409,0.39663492432725217,0.023845703211609642,-0.2901012959375049,-0.3758451484660649,-0.10144729537210645,0.3515440404622639,0.7286065360079557,0.8900304568592265,0.8586941304641751,0.7249190233422922,0.5284046798728821,0.3064903105041032,0.12025749013788956,0.02344611513950426,0.03473279605616306,0.13085138528963114,0.25561242909306364,0.3419346241022157,0.3663744539921217,0.3471236240164119",2
12,"1.4885581562988137,1.4549437272006678,1.4047924956013134,1.3447419923227604,1.2904997402085225,1.2399908262857433,1.1743567950827754,1.0827163075979487,0.9718507741937221,0.8671626477626962,0.7739234452982778,0.6715485873641073,0.5482987787738676,0.41596902635565147,0.29080982417900647,0.1716211254583575,0.04762297042312558,-0.07140745731264875,-0.18029837297741602,-0.2762193970789161,-0.3549582365293057,-0.4245778278848368,-0.495626191101478,-0.5632276542595417,-0.6229667778486835,-0.6749310874273737,-0.7246293098527037,-0.7740656444927647,-0.8242990273769952,-0.8778383174826945,-0.9172830740381426,-0.9505100045839607,-0.9903769893591079,-1.0245545563023306,-1.0461143423534827,-1.0589538248409376,-1.0670244501437898,-1.0643871831910756,-1.0437109743033939,-1.0070697081623279,-0.9650138372709827,-0.9204907799769648,-0.8677644900682929,-0.8014538859802537,-0.7258417259533901,-0.6501785506613512,-0.5788331235320855,-0.5093475944329181,-0.4349926724580089,-0.3589710120331735,-0.29132929682233577,-0.23653468079813067,-0.19013609291993738,-0.14402247778329902,-0.09827821668713377,-0.06076244789421614,-0.029876694217511324,-0.001956229516085206,0.023841045755912393,0.04552749954326024,0.06303461011320194,0.08175002601823916,0.10021925016073208,0.11405298722647722,0.12699197377410726,0.13815073111279835,0.14689906972367917,0.15865227868445153,0.1750678115480072,0.19815188099000586,0.22129769112501085,0.23548027545209138,0.2434281766180223,0.2502689941582108,0.2560350916599896,0.2599427814783086,0.2657612529870269,0.27571246048733533,0.2872408622374101,0.2987613686029369,0.3100289075932311,0.3154374472571708,0.3153564324927871,0.3147810431053778,0.3129761419559478,0.31137567303206204,0.3103688170994454,0.3094425522381957,0.30692276673055474,0.30158457202593647,0.29497364190667585,0.290444306804027,0.28771319362645786,0.2848555326633353,0.2769431941345526,0.2647482203811531,0.24948085556715416,0.23502458851931807,0.214991763361579,0.18768922755083717",0
