id,heartbeat_signals,label
133,"-0.24235586527086816,-0.28757030119364285,-0.31903711977949734,-0.3146873877303364,-0.28835922650909973,-0.24397216381851755,-0.178743613768031,-0.1038147614538889,-0.034068026200303525,0.025427869558358906,0.07747103722613191,0.12930900516352717,0.18384655261437755,0.23142733977593619,0.25932823838574875,0.26443903979407946,0.24775179655781154,0.20303278682354126,0.12073110180841842,0.0005418411207724905,-0.1427966709310705,-0.2790840801750103,-0.37044014288705995,-0.3972700705265739,-0.3728969476381676,-0.3208667315626059,-0.24874485271966282,-0.1513825002311953,-0.03032464248896302,0.09885759982363815,0.21669879882170548,0.31111281778931354,0.3790983888015791,0.4228341717988303,0.44291010886768756,0.43307849722339187,0.38458249834116476,0.29635786509828266,0.18055912404804647,0.06292145172520702,-0.025102370691693132,-0.06929922691222881,-0.08242298258972353,-0.08155047146246011,-0.06967495633141291,-0.04178403029976896,0.003336818346189485,0.05771095286309999,0.10688578643895377,0.14119044434490174,0.16466179673466994,0.18740204196327562,0.20999094409035565,0.22003607235261335,0.20405543466548257,0.15944695191836128,0.09567358621338529,0.026973147793944163,-0.037485985265338,-0.09436006828044968,-0.13712009284391619,-0.15814171341970207,-0.16146645381004526,-0.15894151370946696,-0.15537421358571085,-0.14562308563720788,-0.12251142764760803,-0.08471431309487093,-0.03862485499995677,0.00612436096700765,0.04305047707265908,0.07062801881975483,0.08901295516186614,0.0977280837335659,0.09681433619015506,0.08740783169617605,0.06995266863055338,0.044193170434046664,0.012236448940544653,-0.020168327798499086,-0.04695047425742521,-0.06572561077107973,-0.07831766023966792,-0.08737547858502884,-0.09274696560725448,-0.093069897941784,-0.08910897747058236,-0.08201276335467603,-0.07060063599507183,-0.05389964380129228,-0.03486786755004101,-0.019562297658518357,-0.013342887638436857,-0.017585725575315653,-0.029604948230292416,-0.044230191832708265,-0.05540877999797428,-0.06023115215334904,-0.06064503126990814,-0.06076207734416869",2
24,"1.411668500715954,1.4016879412929568,1.3835418712194505,1.3631683829191719,1.3538609031054027,1.3532349719955543,1.3616413868595805,1.3722521784842303,1.3660383093795812,1.3451683166590764,1.3414112536915241,1.369396517624577,1.4063215350907914,1.4341664606658926,1.4490520071138833,1.4572701963542585,1.4668965027785754,1.4713937767973353,1.461531755184558,1.4454130600517316,1.4385338481215912,1.4388006823502792,1.4365577965254943,1.4204023764300313,1.3761881050751121,1.3148723710010537,1.268097546641575,1.245765185890737,1.227965603766204,1.1863062077488136,1.108317180298073,0.9938148961595352,0.8396618959136284,0.6181879059686215,0.3121480649297405,-0.05331718778464423,-0.4590887146621204,-0.9093406353730177,-1.4101283178633166,-1.847548051006739,-2.0752786062133253,-2.1746797205547046,-2.3149637727867085,-2.5723561406438944,-2.8524987079705584,-3.0849192994071766,-3.257266317819583,-3.384809149202316,-3.7091143069589325,-4.374564671973169,-5.094164813067836,-5.608153665331859,-5.885662450414259,-5.931565564040617,-5.753371739928318,-5.435098251906959,-5.085881283266334,-4.713147539403065,-4.255672910945712,-3.710869793309206,-3.172986122461555,-2.6475434951844203,-2.0409320548724312,-1.281385587711556,-0.4333648089690614,0.28328799932863313,0.738533459028759,0.9692144049541689,1.0758992858622154,1.1289362491409998,1.1417166442481292,1.131425197510791,1.1337438126424189,1.172033806959286,1.2671019793141227,1.436452639291058,1.6511088302773569,1.8392253276883082,1.9321225986139254,1.9112705448880973,1.8245436343288925,1.7342197678542581,1.685828108908911,1.6957836839691072,1.724333026504146,1.7225024743004909,1.6723479719085215,1.600159309037042,1.551123216235446,1.533865920708578,1.5253919197428214,1.510758188722352,1.4994756920176195,1.5066047271107217,1.534899785379379,1.5519649306413206,1.5198329828004005,1.4444886540425579,1.3555592045698281,1.2831822076981207",0
39,"2.08647804588596,2.069218589817882,2.048103822431241,2.0256945720197423,2.0076757240563206,1.9945498025934851,1.983352830002589,1.9722188565883192,1.9641356307952906,1.95845647088074,1.9463916800030685,1.9265416379216769,1.9039927886363808,1.87669425130309,1.840399827665861,1.7936507247841258,1.7330295026824927,1.653576737667889,1.5538641072665755,1.440306973026317,1.3277577161236631,1.2257165669169212,1.113138230197002,0.9522660995529982,0.7227451578760699,0.42856695408433476,0.1291959248455415,-0.09250582776259964,-0.23666450355028568,-0.4114901030146628,-0.7361481240835951,-1.211809683545236,-1.7660308503303566,-2.352951436715348,-2.9033707809068527,-3.357693629005194,-3.7613677477050556,-4.199289890996636,-4.670193014433948,-5.0992423192303935,-5.400472857550192,-5.526245846475847,-5.459998547769708,-5.215127487988843,-4.860585443377715,-4.487331090078159,-4.117552137192589,-3.7081256212547093,-3.263446438079509,-2.8296114259646226,-2.404407933178848,-1.9581986083148801,-1.5198403156638252,-1.1288766467730218,-0.7698731111967735,-0.4396272226575567,-0.16334911237765637,0.10059330369790165,0.3960615291693338,0.6867700187265258,0.9155141858582994,1.0621485548754164,1.13961242607277,1.180503278845124,1.2267897235122676,1.2956039636610994,1.3743623380283734,1.4473919078820658,1.4987200514141343,1.5166086229128035,1.5045568744861324,1.4625966230468783,1.3899496297155125,1.312626731343874,1.2575132670449616,1.2194046187567418,1.1848551774969875,1.1552073962441725,1.1357857692397997,1.1273181823849658,1.1279644858472238,1.135423900700702,1.1374943501971628,1.115244448301009,1.0620502364887627,0.9889240820762664,0.9135004807094871,0.8416408444241559,0.76982756146263,0.7043083377130721,0.6532010861954276,0.6098223836085328,0.5655842773294724,0.5238579277498685,0.48104615959247443,0.4209320318082084,0.33370382429784695,0.223139036880881,0.11889582204747495,0.05665307970217537",0
69,"-0.8739633436868696,-0.8262569095216599,-0.7314883390434135,-0.5783854192594782,-0.37392590987188945,-0.19749085171818034,-0.1393834692600264,-0.18925505809577914,-0.2617948039880966,-0.30781475733606595,-0.34679952947432846,-0.40690082135081435,-0.48613434939479383,-0.5683889896857044,-0.6356518391239758,-0.6677462623568059,-0.654968356088554,-0.6087304454137166,-0.5510922298325587,-0.4978118047449906,-0.45462632774704703,-0.422459886476749,-0.39859745436947563,-0.37658871254719095,-0.3520715541989848,-0.32866280517650615,-0.3135202413180165,-0.30730869701400954,-0.2998030065257625,-0.277444991018465,-0.23866172690350895,-0.19684917877791086,-0.16330310469168804,-0.1339932782474118,-0.09743219959749945,-0.047447889662684845,0.015057347762322926,0.08546019453650117,0.15877106070876462,0.23397892961386882,0.3142316006944831,0.39927850918192004,0.4779762105515458,0.5299947507003704,0.5381334610132269,0.5060471116727535,0.462489198131552,0.4398811285683647,0.45540968647352237,0.5128819211980535,0.6051425077989312,0.7167381072683303,0.8361316383459071,0.9585372979997584,1.0746712111639634,1.1658431211320346,1.213804228128665,1.2200437393964767,1.209891707753706,1.2074972033695401,1.2174550760908645,1.2360425216281004,1.2594969666133773,1.2792552957780239,1.2897776830271408,1.3002213697168865,1.320906587891691,1.3467982445916096,1.3680500957781265,1.382995456204618,1.3911383328294271,1.3834563839035035,1.343941740861693,1.2572539297294374,1.1179299854064362,0.9288096331634202,0.689857851029844,0.4069029524344989,0.11722553367329439,-0.12572133206031152,-0.30506796685359006,-0.44656381998111183,-0.577763941443835,-0.7143798837809873,-0.8739192552507775,-1.0654749753239927,-1.2610245556411002,-1.4103563940512744,-1.4930533383741813,-1.5251985823096286,-1.5219572556297494,-1.4836503429907046,-1.415777833417824,-1.3409365391655044,-1.2800747257887546,-1.2351921468999114,-1.1976369400715812,-1.1612844676664695,-1.1264874002043161,-1.1011312730903442",3
227,"-0.13668941846056423,-0.1276718766361733,-0.11721006541802409,-0.10492461593841224,-0.0903739244799242,-0.07329169346900194,-0.053878235188451085,-0.03299247122604548,-0.012119207756993433,0.006912512724685682,0.022369542560579825,0.03305626876296214,0.038615541614752946,0.039603125962261676,0.03734285670506532,0.03361954786555599,0.03028846658515222,0.028883452470307658,0.030297704345979448,0.034620089803387766,0.04117760219317698,0.048785818808556924,0.05612388049822098,0.062114310687565316,0.06619330596495315,0.06841479224192079,0.06938721988199259,0.07007370354648665,0.07150292234186026,0.0744659931535854,0.07929459987197782,0.08580786688218728,0.09344102671280136,0.10147385551501559,0.10922333143480292,0.11612222550822662,0.1217092558452254,0.12562791260025863,0.12770280164603937,0.1280713711937132,0.1272758221865213,0.12621772000787645,0.1259472829716415,0.12735312439459082,0.13088190297168262,0.13640835275821508,0.14329823464842137,0.1506165607802792,0.15737486919845473,0.16271917432688737,0.16601933095252558,0.1668668445869022,0.16498664107284805,0.1600595411144214,0.15149246815366418,0.1382745369165185,0.11909961104262146,0.09282120948916944,0.05905422301243224,0.018557104213226927,-0.026918111805967926,-0.07531038986073779,-0.1250974575020541,-0.17578023930083408,-0.227688469384901,-0.2812317823304111,-0.3360831195574335,-0.3907834503661095,-0.4429337372082347,-0.4897640916002235,-0.5287321002711963,-0.5579118722633956,-0.5761382577766225,-0.582973894613832,-0.5785574757110743,-0.5633548195704953,-0.5378721143965991,-0.5024516037698484,-0.45727584081069095,-0.402594940509052,-0.33903045337402526,-0.26774416194475614,-0.19038278377210854,-0.1089144573756336,-0.02556699752167696,0.0570380965002642,0.13570386990622413,0.2067188628931374,0.2663631889344216,0.3118004146203584,0.34203053904257036,0.3584798903202779,0.364932068330099,0.3667428306261753,0.369533854602824,0.3777101980380666,0.393199526590934,0.41480631738788726,0.4385342383440751,0.4590027743060445",1
218,"-0.13668941846056423,-0.1276718766361733,-0.11721006541802409,-0.10492461593841224,-0.0903739244799242,-0.07329169346900194,-0.053878235188451085,-0.03299247122604548,-0.012119207756993433,0.006912512724685682,0.022369542560579825,0.03305626876296214,0.038615541614752946,0.039603125962261676,0.03734285670506532,0.03361954786555599,0.03028846658515222,0.028883452470307658,0.030297704345979448,0.034620089803387766,0.04117760219317698,0.048785818808556924,0.05612388049822098,0.062114310687565316,0.06619330596495315,0.06841479224192079,0.06938721988199259,0.07007370354648665,0.07150292234186026,0.0744659931535854,0.07929459987197782,0.08580786688218728,0.09344102671280136,0.10147385551501559,0.10922333143480292,0.11612222550822662,0.1217092558452254,0.12562791260025863,0.12770280164603937,0.1280713711937132,0.1272758221865213,0.12621772000787645,0.1259472829716415,0.12735312439459082,0.13088190297168262,0.13640835275821508,0.14329823464842137,0.1506165607802792,0.15737486919845473,0.16271917432688737,0.16601933095252558,0.1668668445869022,0.16498664107284805,0.1600595411144214,0.15149246815366418,0.1382745369165185,0.11909961104262146,0.09282120948916944,0.05905422301243224,0.018557104213226927,-0.026918111805967926,-0.07531038986073779,-0.1250974575020541,-0.17578023930083408,-0.227688469384901,-0.2812317823304111,-0.3360831195574335,-0.3907834503661095,-0.4429337372082347,-0.4897640916002235,-0.5287321002711963,-0.5579118722633956,-0.5761382577766225,-0.582973894613832,-0.5785574757110743,-0.5633548195704953,-0.5378721143965991,-0.5024516037698484,-0.45727584081069095,-0.402594940509052,-0.33903045337402526,-0.26774416194475614,-0.19038278377210854,-0.1089144573756336,-0.02556699752167696,0.0570380965002642,0.13570386990622413,0.2067188628931374,0.2663631889344216,0.3118004146203584,0.34203053904257036,0.3584798903202779,0.364932068330099,0.3667428306261753,0.369533854602824,0.3777101980380666,0.393199526590934,0.41480631738788726,0.4385342383440751,0.4590027743060445",1
164,"-0.3840748611367932,-0.37394129391140324,-0.36131681429873924,-0.3462688653394312,-0.3317050670181791,-0.319254674643561,-0.3074409239289694,-0.29435815475312826,-0.28086745100113786,-0.269329587818745,-0.25973383603730366,-0.2493477313677625,-0.23620165958481887,-0.22082922268256938,-0.20471433640175446,-0.18906880271862386,-0.1749780854422865,-0.1634265191685736,-0.15460718190902656,-0.14754941911063946,-0.14012423910607102,-0.12953339509652495,-0.11473753950490045,-0.0978525763899809,-0.07952156464736193,-0.053581213746477785,-0.012478821304459098,0.04436738399949802,0.11053197806368387,0.1732784455710013,0.21959283473787405,0.2533797682745346,0.2957568809846955,0.36272345165444597,0.45253867718868235,0.553306669469368,0.6552797447526477,0.7524263399248774,0.8369499518661294,0.9008327897658948,0.9421695602159512,0.9631287103531414,0.9637399216171916,0.9430392098926981,0.900415462577241,0.83383632380791,0.7429013638967157,0.6322902189338429,0.5139397124435627,0.4069349748746439,0.3167465184886371,0.22225308973647312,0.11591638778655644,0.031105065426840772,-0.000246029941731285,0.007552158901387052,0.006052771180003136,-0.04517248368663007,-0.15367982811282066,-0.3078450519383613,-0.503700567129177,-0.7322164299983376,-0.9457032580079707,-1.0754773767388466,-1.0849713005962884,-0.9991279596918003,-0.8806533524102089,-0.7468649528519873,-0.5473667040530137,-0.2621159743708137,0.03341045058600289,0.22477405253789962,0.26659669240748407,0.2111813715424279,0.12334887872636702,0.01910045405038807,-0.09663034657422609,-0.1901066750631515,-0.22442249031338846,-0.2006397055546414,-0.15326232192310973,-0.11311892409186308,-0.0898345677605461,-0.08235793204564679,-0.08790794919532285,-0.09847079298744932,-0.10124527594382582,-0.08904867248461501,-0.06597910006179042,-0.041864112041927415,-0.02261440294851902,-0.003985821964421654,0.02414794880714466,0.06337101438552273,0.10160000015848958,0.1251351413693499,0.13001398020065913,0.12352358247904294,0.11933324691140634,0.12495101800336872",2
196,"-0.09511632846793078,-0.07989077999821464,-0.05604091244031098,-0.0269338932673929,0.00328153165341577,0.030570053015577636,0.05187155005224045,0.06571504965641678,0.07240645873231238,0.07365949927199189,0.07171857923000896,0.06834375742900248,0.06421959948841774,0.059105921830552854,0.05249270465588168,0.04416706136896731,0.03429750931353148,0.0231609779295551,0.010984037976155825,-0.0018037869292293895,-0.014087341152880545,-0.02387493880676314,-0.028778908972943607,-0.027042718694256618,-0.018566882628823528,-0.0053524209683204205,0.008921133094196385,0.02006093755020147,0.024843107744792342,0.02221086518277908,0.013639460231267886,0.0024427474129829208,-0.007694349009113061,-0.014266727322534867,-0.01686229706513237,-0.01707234341251579,-0.017545725016065356,-0.020694671822281324,-0.027633291109038755,-0.037741872011420735,-0.04894164461855857,-0.058479722903668374,-0.06385507669540916,-0.06351921421978732,-0.057127763396671444,-0.04534077306580872,-0.02936744359672855,-0.010528344295674064,0.009970548953939368,0.03103963236359067,0.051620175108055666,0.07065599765210415,0.08715586233097158,0.10025591629324448,0.1091991680216301,0.11326029680716615,0.11177016210571133,0.10436028151251184,0.09133656625445025,0.0738476370959146,0.05354785340792226,0.03183097330725021,0.009153624077679667,-0.014997061259138855,-0.04140082311091836,-0.0701498289491026,-0.1000864629003137,-0.12894585307044287,-0.15401511901427528,-0.1728684766323657,-0.18382999334795047,-0.18610491535854945,-0.17973377416326197,-0.165553771031831,-0.14521174409400694,-0.12111495440211667,-0.09615941841804149,-0.07319790902356699,-0.0544007467787902,-0.04077079427590102,-0.03200576466568689,-0.026736183211886422,-0.023030093410332297,-0.019003279963268838,-0.01334240258790137,-0.005553762925333883,0.004147723303328632,0.015199031333827828,0.027054563619106076,0.039354653530161376,0.051886215237196054,0.06446222148284902,0.0768452919208043,0.08874681142016339,0.09987189905771537,0.10997095622256792,0.11889004914453438,0.1266075465138936,0.1332382626766368,0.13898084090729473",1
161,"-0.3840748611367932,-0.37394129391140324,-0.36131681429873924,-0.3462688653394312,-0.3317050670181791,-0.319254674643561,-0.3074409239289694,-0.29435815475312826,-0.28086745100113786,-0.269329587818745,-0.25973383603730366,-0.2493477313677625,-0.23620165958481887,-0.22082922268256938,-0.20471433640175446,-0.18906880271862386,-0.1749780854422865,-0.1634265191685736,-0.15460718190902656,-0.14754941911063946,-0.14012423910607102,-0.12953339509652495,-0.11473753950490045,-0.0978525763899809,-0.07952156464736193,-0.053581213746477785,-0.012478821304459098,0.04436738399949802,0.11053197806368387,0.1732784455710013,0.21959283473787405,0.2533797682745346,0.2957568809846955,0.36272345165444597,0.45253867718868235,0.553306669469368,0.6552797447526477,0.7524263399248774,0.8369499518661294,0.9008327897658948,0.9421695602159512,0.9631287103531414,0.9637399216171916,0.9430392098926981,0.900415462577241,0.83383632380791,0.7429013638967157,0.6322902189338429,0.5139397124435627,0.4069349748746439,0.3167465184886371,0.22225308973647312,0.11591638778655644,0.031105065426840772,-0.000246029941731285,0.007552158901387052,0.006052771180003136,-0.04517248368663007,-0.15367982811282066,-0.3078450519383613,-0.503700567129177,-0.7322164299983376,-0.9457032580079707,-1.0754773767388466,-1.0849713005962884,-0.9991279596918003,-0.8806533524102089,-0.7468649528519873,-0.5473667040530137,-0.2621159743708137,0.03341045058600289,0.22477405253789962,0.26659669240748407,0.2111813715424279,0.12334887872636702,0.01910045405038807,-0.09663034657422609,-0.1901066750631515,-0.22442249031338846,-0.2006397055546414,-0.15326232192310973,-0.11311892409186308,-0.0898345677605461,-0.08235793204564679,-0.08790794919532285,-0.09847079298744932,-0.10124527594382582,-0.08904867248461501,-0.06597910006179042,-0.041864112041927415,-0.02261440294851902,-0.003985821964421654,0.02414794880714466,0.06337101438552273,0.10160000015848958,0.1251351413693499,0.13001398020065913,0.12352358247904294,0.11933324691140634,0.12495101800336872",2
155,"-0.2693675655242507,-0.17591338418877656,-0.04906253625393797,0.0180842096765238,-0.018916590165371505,-0.12524391352734832,-0.22805079368435455,-0.28437173819365325,-0.303855046553984,-0.3026582270091456,-0.26882220066650253,-0.18731016974368908,-0.05874256473542505,0.10428457559240001,0.27819226023438204,0.4281561830507394,0.5087077661948551,0.48266402399057884,0.34635325752355095,0.1324410881403285,-0.09432597900990691,-0.26075004301285365,-0.33864256348439986,-0.36390501381735424,-0.3862655035851249,-0.41323598111921883,-0.4174382193353197,-0.3812097773407752,-0.3113011288138264,-0.21726394322988346,-0.09537494584812606,0.056935768995342306,0.21813685704207392,0.34641381957523626,0.40843293177045364,0.40187868825140494,0.34928588539923805,0.2789088895630726,0.20901130167987092,0.13731421964334595,0.05185882735297198,-0.04646631503221221,-0.13993916021888125,-0.20524622609960802,-0.2250220809365997,-0.19502302187283893,-0.12264345938393739,-0.022826523547857303,0.08401663393060554,0.17925444810196411,0.25593469720063483,0.3155453789444881,0.3526570216316993,0.35694182197052654,0.3337627004829646,0.3033244593845487,0.2767876631176739,0.24658563862172306,0.20273439647955982,0.14979815585142414,0.09872910657209444,0.05190933997737657,0.007965752526680081,-0.027501581679819753,-0.04380020629654169,-0.034184075686956694,-0.0009031423411682282,0.045666801908446575,0.09149455558407643,0.12451722469500082,0.13810156322518946,0.13149468769585476,0.10877631598781845,0.07678464521730083,0.04301295786315695,0.013355895634771353,-0.010646665750374928,-0.03145141907343435,-0.05023805662051822,-0.06187543204836676,-0.05716482997863537,-0.030540863741147395,0.01616116688055297,0.07298209471524786,0.12169412222655218,0.14609905915978394,0.14535070034393105,0.12738811750028656,0.0908150379435535,0.025331788951362566,-0.06823217317925079,-0.16919252284493885,-0.2542664250759652,-0.3130278519420831,-0.3419174283844181,-0.3399533819399189,-0.31664575510528986,-0.2902913533301454,-0.27319285088329676,-0.2678138721658221",2
