id,heartbeat_signals,label
31,"-1.64501523984321,-1.5842264444792686,-1.5233174441374526,-1.4642707859172865,-1.4080530351698104,-1.3540779802680283,-1.3010966669015298,-1.2481251527214265,-1.194112190747663,-1.1374489183374774,-1.0769063024868641,-1.0131029987478088,-0.9482972146945292,-0.8846536375826382,-0.8228137434113703,-0.7619048483157531,-0.7007609443142717,-0.6385342556577518,-0.574151396350213,-0.5064995064361941,-0.43589517455925053,-0.36512297742446864,-0.29845750377244706,-0.2392342040397204,-0.18806064629081543,-0.1427133312612925,-0.0993937565831362,-0.054598698121396616,-0.006338759091235602,0.04628355611490642,0.10395560649940871,0.16660257416251212,0.23218959875812506,0.2971308187292441,0.35812280584003053,0.4140263604817578,0.4666382045124786,0.5192509299015837,0.5741036322576518,0.6309292941586571,0.6877084024735469,0.7432012134402823,0.7982009939429884,0.8538067934992677,0.9098161462393262,0.9655349771173847,1.0208724498376591,1.0757204446186275,1.1294392143475849,1.181773387326896,1.2331749805343488,1.2835161156936783,1.3310218873233897,1.3732327887836338,1.4093359206800697,1.4413086361676848,1.472673322050327,1.5066539223143114,1.5458260574342524,1.5923760531981355,1.6472607048224845,1.7090814602996844,1.7736027616740244,1.8342889953096297,1.8843889892408934,1.9187397001901263,1.9346933087110705,1.9328463167880021,1.915617685465354,1.8846331287050808,1.838771233070398,1.7739632292586567,1.6864095613172547,1.575327665216021,1.4441702257455868,1.3013003050681942,1.154170225026789,1.0013278799369871,0.8349416970079865,0.6503026003664303,0.447746015021522,0.22675764525441755,-0.016649229436177748,-0.2868469672235432,-0.5833372382609174,-0.8985704949821063,-1.223033234960302,-1.549986426718208,-1.873003395518444,-2.1823350305476974,-2.4629130573770994,-2.6941352744242617,-2.8573888126329687,-2.9466895966521487,-2.9684718582975687,-2.9331787533577587,-2.850619289003587,-2.7313262748394975,-2.5926098238763546,-2.4664899061632792",0
266,"1.3165401633546638,1.3066405779606742,1.2936810288084244,1.2764990475717932,1.253022103683835,1.2249551285981406,1.1927425161735723,1.1603216781952082,1.130209402398214,1.0930349701247284,1.037185284152486,0.9695168567279749,0.9092446367029078,0.849822756634075,0.7839014903403743,0.6915816791136941,0.571808273622135,0.4356285988647483,0.28361384473289786,0.10786656716981452,-0.15987837662383453,-0.5429185224365279,-1.0300824920967329,-1.3996756953241491,-1.4212096548896809,-1.3522335211289334,-1.4679503794099107,-1.6855913751909664,-1.9102374989201292,-2.0844726905358306,-2.211279820187534,-2.2567508717946816,-2.168928285387169,-1.9887348524621853,-1.7703161479494844,-1.553747175669269,-1.3552945965625547,-1.1033901412187785,-0.7545929777409202,-0.419878930063748,-0.16522272841249125,0.032881226018617926,0.17355182462550728,0.2514905595475249,0.27442455241447206,0.2487045276566806,0.20993038618013776,0.16905753386512057,0.11892559753870208,0.0807296258378487,0.07531662220850888,0.07482939957555279,0.06528319359548868,0.055705598284569724,0.04166362178862232,0.02950292034722457,0.025954023390175274,0.03838525440322699,0.07321534583029388,0.11372258524986267,0.14374276069830683,0.15694092382321223,0.15274744094850456,0.14850489742283535,0.1522377788014594,0.15116841547879056,0.14631219847048704,0.14552512090057979,0.15203803966293328,0.1641160999114345,0.17906432565945318,0.19723973461976285,0.21681011209817902,0.2307883433207265,0.2375544720636985,0.2361137367248779,0.22887961444758675,0.22240373783451184,0.22553777529193786,0.23634393186032243,0.2473246144421274,0.25453456393901963,0.2579668118895623,0.2612101187007919,0.25921326109110165,0.2529217204300328,0.24455598291694536,0.23308124608649272,0.2199010865492409,0.2100449707951878,0.20114392924615176,0.1921081368141352,0.1830353511083863,0.17173231232432074,0.16357857689239375,0.15598035736365146,0.1466644152753923,0.13582610881336998,0.12659234131723995,0.1198103646823806",4
136,"0.2224136859940784,0.24320315583796448,0.2643491397660239,0.2848151645868833,0.3041269640253803,0.3228445895797286,0.3419832642136902,0.3616701865636631,0.3809776393278972,0.39949040438944117,0.4175883766625538,0.4347048837299392,0.4499786584026425,0.4650115695154319,0.4828204690967195,0.5035920692376347,0.5243716102343634,0.5432906607879365,0.5612497877820163,0.5789761377425864,0.5946700733348277,0.6049737477556814,0.606723938097788,0.5975665748731029,0.5761385833695101,0.5417665982632074,0.49297636725897365,0.42677323500813436,0.34156125410634697,0.24182719678347508,0.13822753260746612,0.04210941390670159,-0.03894615560946152,-0.10080444045955611,-0.14228161449865878,-0.1680288767327564,-0.18827942025128397,-0.2125081148471032,-0.2446836198703023,-0.283813333396724,-0.32645440013597593,-0.3689980707448579,-0.4090640689002377,-0.44698644671333365,-0.4888984011864823,-0.54624682471691,-0.6282439220940959,-0.7353846964516972,-0.8599518271838198,-0.9883120242224352,-1.1035744055898413,-1.1926532901240785,-1.250577836284842,-1.2781824942449154,-1.278709351444037,-1.2559991281568208,-1.2139562845742415,-1.1507391611407183,-1.0527092423310305,-0.9069336179839597,-0.7240936351869363,-0.5421511468539999,-0.40345671963331964,-0.3286500642410941,-0.3142050699768961,-0.3492769911582938,-0.42314496074986363,-0.516642952032355,-0.6011485303009363,-0.653639835429146,-0.668319755239604,-0.651266045154855,-0.6081848632885675,-0.5414859186005415,-0.45626756949263236,-0.36317713496510806,-0.27401884178624725,-0.19571223378295488,-0.12778787035495753,-0.06477310067055253,-0.000628282462578289,0.06882942032423478,0.14546207120167698,0.22835455724618248,0.313819342391396,0.39651930755868436,0.47187867318610166,0.539867566529528,0.6063637389531658,0.6785646818601465,0.7579043289207612,0.8381537277286389,0.9120662482082446,0.9796723855870302,1.0481541925591498,1.1235517887872701,1.2048037102917384,1.2859463882424778,1.360013006106395,1.4172545227270552",2
17,"-1.4142913254873504,-1.3684379095446975,-1.3135811499111394,-1.2559631646960174,-1.1992722136956662,-1.1448233397844798,-1.0936026447120029,-1.046109129811373,-1.0007529504150308,-0.9542436487966344,-0.9036957412709219,-0.8474349362531108,-0.7853281752309227,-0.7201082894869943,-0.6559364524318567,-0.5934559385063156,-0.528455118662708,-0.4571245699350943,-0.3815489366409126,-0.30941077338109835,-0.2482825588111245,-0.19922684852123507,-0.1556158934341597,-0.10978714994287997,-0.060709021599878676,-0.013949895322671768,0.024766795375700035,0.05469826709584602,0.07947107249402163,0.10431461840460599,0.13458145265489319,0.1729449872120027,0.21652196746297792,0.2594832415609116,0.2985937372022267,0.33430349697917383,0.3680340494885068,0.4004337509756968,0.4312737453310136,0.460617189720528,0.4905624686456631,0.524780281684158,0.5656006152078188,0.6118392077150097,0.659259116962541,0.7030684853800839,0.7412468433649759,0.7763880602390156,0.8132372433574617,0.8538987542371435,0.8963689687196401,0.9374376613128461,0.9756768411965269,1.0114237704594389,1.045326248649646,1.0787573812446676,1.1152758689472297,1.1584732209100754,1.2074798950579857,1.257103960281502,1.3028700217026905,1.344599254728443,1.3848289675850898,1.4246384344598932,1.461777594011703,1.4926936789949297,1.5155748903124109,1.5313205137029886,1.541452935142178,1.5436245091314276,1.529025617823085,1.4877619019975792,1.4184481163919282,1.3285773126771052,1.2251387086094745,1.1099484619296307,0.9842356556609979,0.8525981509701075,0.7210799362253826,0.5930488990644847,0.4663977641798993,0.33369421047428816,0.18513795492195206,0.013670134604886197,-0.18001458638076007,-0.38962202033051496,-0.611504642717567,-0.8439629658432188,-1.0785572564289942,-1.3037195293393202,-1.5185713228831805,-1.7330699220663652,-1.9526445539447341,-2.171593708999823,-2.382927338865284,-2.5859271786580074,-2.780551934925178,-2.959548956227774,-3.1069512804038757,-3.1950719165331325",0
62,"0.004532831416892473,0.005412670424683644,0.006398080844886869,0.007335136187982049,0.008094440454256554,0.00861371005295147,0.008896887248519406,0.008987767604352794,0.00894239850281315,0.00881193055652418,0.008635251188065362,0.008436540170727327,0.008221983608475793,0.007968133660918857,0.007600242610678758,0.006973204893684248,0.005880946242851487,0.004111720823664823,0.0015323750105056926,-0.001849014221254549,-0.0058887209316314335,-0.010379052146173195,-0.015128921507485515,-0.019986221137398046,-0.024784571374112652,-0.029265311963581692,-0.033052751558041014,-0.03572337658258043,-0.03694001806767348,-0.03657478952661819,-0.03475184615662383,-0.031791729014288214,-0.028095201401320588,-0.024031359608578984,-0.019880598053482475,-0.01584176220981409,-0.012073704977285826,-0.008728898827921557,-0.00595380777988367,-0.003859678511512619,-0.0024867084231861188,-0.0017849989541914892,-0.00162303529381283,-0.001819733009203968,-0.0021868531508011588,-0.002567030624106622,-0.00285689261625793,-0.003010751904124514,-0.003025967386803937,-0.002916639647833532,-0.002687570445632021,-0.0023217136133823167,-0.0017881262307312233,-0.0010653585614303247,-0.00016458280001513045,0.0008645043919417138,0.0019517097790595662,0.0030397222733043044,0.004114353134709255,0.005215319845548152,0.006423174280509331,0.007830695988756391,0.009513109459599524,0.011509355744749386,0.013819130942987458,0.016411781993492254,0.019237570587038236,0.022232490206523927,0.025314466613197358,0.028376947168752407,0.0312896938246701,0.033913257557329345,0.03612526796479168,0.03784873743370059,0.039069646301321516,0.039835137871731895,0.040233082006358195,0.04036369486493179,0.04031798198187844,0.040172195114079795,0.03999474865979266,0.03985107899707581,0.03979268452965114,0.03983040854362335,0.039906868873922835,0.03988263176037193,0.03953254877624332,0.038531922998284354,0.036421492954674256,0.032574609014615445,0.026215164954918043,0.01651909445113067,0.002769370707935332,-0.015488832054791596,-0.03830982610644227,-0.06516700443495488,-0.09465946206417569,-0.12419150949243724,-0.1499527698346806,-0.16757520185037722",1
29,"-1.64501523984321,-1.5842264444792686,-1.5233174441374526,-1.4642707859172865,-1.4080530351698104,-1.3540779802680283,-1.3010966669015298,-1.2481251527214265,-1.194112190747663,-1.1374489183374774,-1.0769063024868641,-1.0131029987478088,-0.9482972146945292,-0.8846536375826382,-0.8228137434113703,-0.7619048483157531,-0.7007609443142717,-0.6385342556577518,-0.574151396350213,-0.5064995064361941,-0.43589517455925053,-0.36512297742446864,-0.29845750377244706,-0.2392342040397204,-0.18806064629081543,-0.1427133312612925,-0.0993937565831362,-0.054598698121396616,-0.006338759091235602,0.04628355611490642,0.10395560649940871,0.16660257416251212,0.23218959875812506,0.2971308187292441,0.35812280584003053,0.4140263604817578,0.4666382045124786,0.5192509299015837,0.5741036322576518,0.6309292941586571,0.6877084024735469,0.7432012134402823,0.7982009939429884,0.8538067934992677,0.9098161462393262,0.9655349771173847,1.0208724498376591,1.0757204446186275,1.1294392143475849,1.181773387326896,1.2331749805343488,1.2835161156936783,1.3310218873233897,1.3732327887836338,1.4093359206800697,1.4413086361676848,1.472673322050327,1.5066539223143114,1.5458260574342524,1.5923760531981355,1.6472607048224845,1.7090814602996844,1.7736027616740244,1.8342889953096297,1.8843889892408934,1.9187397001901263,1.9346933087110705,1.9328463167880021,1.915617685465354,1.8846331287050808,1.838771233070398,1.7739632292586567,1.6864095613172547,1.575327665216021,1.4441702257455868,1.3013003050681942,1.154170225026789,1.0013278799369871,0.8349416970079865,0.6503026003664303,0.447746015021522,0.22675764525441755,-0.016649229436177748,-0.2868469672235432,-0.5833372382609174,-0.8985704949821063,-1.223033234960302,-1.549986426718208,-1.873003395518444,-2.1823350305476974,-2.4629130573770994,-2.6941352744242617,-2.8573888126329687,-2.9466895966521487,-2.9684718582975687,-2.9331787533577587,-2.850619289003587,-2.7313262748394975,-2.5926098238763546,-2.4664899061632792",0
176,"-0.15293801675420815,-0.14113619565755042,-0.12964187442398312,-0.1189575680855004,-0.10886415285209439,-0.09872202387585549,-0.08812310997616724,-0.07713753074088797,-0.06656543099659923,-0.058632355762268995,-0.05601396747119458,-0.05848538801992487,-0.06247384216438401,-0.06478368040582061,-0.06375751885040593,-0.05778463829142794,-0.04626395202851086,-0.031197397936471027,-0.01585131996699285,-0.00207081329874248,0.010677529450069057,0.023989014047956836,0.03857688423665068,0.05364909825314429,0.06797356605756161,0.08080620005955014,0.09170107917816944,0.10067372094522681,0.10889507698596224,0.11815034657639589,0.12925263265866122,0.1414649853397184,0.15354102761275956,0.1649557724603461,0.17595644366295776,0.186977244651373,0.19841586287474433,0.210402091646691,0.22240241433425006,0.23344756796365607,0.24302225042808778,0.25145653142424523,0.25928862035935535,0.2665027980309438,0.27236019077116413,0.2759964705311846,0.277419077625364,0.27730674396686006,0.2756740139897397,0.27270261390588135,0.27090223045528894,0.27282795088075906,0.2766641799245736,0.2767718628972359,0.2673190394750605,0.24410449544731394,0.20418727150933647,0.14284329384962124,0.05050959345448558,-0.08027825721470228,-0.24131592387692735,-0.4113695873038443,-0.5706859508804272,-0.7030864540345227,-0.7914388867750209,-0.8175446466491193,-0.7642654652349482,-0.6276057895385391,-0.4418624450656471,-0.2787550720388111,-0.19243522074638286,-0.1765254789364441,-0.19264555561185037,-0.21679279010641872,-0.24582779297571677,-0.28064870738882464,-0.3155704164186366,-0.3391520462506463,-0.3407687921484016,-0.3168712027329422,-0.2734628381902132,-0.22223747770977198,-0.17241705380743388,-0.12669741464882112,-0.08477871819530725,-0.04834511198657143,-0.02082217854406876,-0.003180946713345234,0.009329278549172315,0.02653447667075093,0.05746036249542996,0.10542469257826692,0.16981401163351562,0.24743217849983523,0.33057761963307675,0.4098459488696171,0.48025344530518077,0.5418049485185554,0.59458972619301,0.6339545224145517",3
114,"-1.392020649137705,-1.33131141500034,-1.2321329296704107,-1.1050074962375405,-0.9618149485547502,-0.8133637037748853,-0.6681278950583556,-0.5320198281045361,-0.40868162818845355,-0.29987822650882057,-0.20584768884658167,-0.1256487972017143,-0.05756563052959751,0.0004240777482584779,0.05019978662832669,0.09317214732472157,0.13016027232190885,0.16149097615515573,0.18725908317920958,0.20762697798679203,0.2230328954000812,0.2342289827190583,0.24215448165726328,0.24772215287294042,0.25162446310713776,0.2542455622131937,0.25571330079663673,0.2560653962728733,0.25545484124102996,0.2543001912727194,0.2533104150694625,0.25337612259393655,0.2553856729951288,0.2600537845070944,0.2678245124405213,0.2788524273255697,0.29301998412957175,0.30994748265551886,0.32899117166270153,0.3492687907442833,0.3697579350905268,0.3894694331499843,0.4076381181893235,0.42384764082087567,0.43803721635222215,0.4504025189966243,0.4612535093519077,0.47089962234236427,0.4796019925156775,0.48758772942775297,0.4950866890141532,0.5023418689994201,0.5095652204340579,0.5168522172310158,0.5241059653422063,0.5310271350208466,0.537191109491342,0.5421821447179005,0.5457240998053425,0.5477561183835002,0.5484317114880866,0.5480389641111834,0.546835729147584,0.544786895148506,0.5412136737493222,0.5344286575941927,0.5215050025939479,0.49835451382561047,0.46022017246084534,0.4025340239114081,0.3219272642294551,0.21710185823997014,0.08932943327143766,-0.057507030235732504,-0.2172722020899327,-0.3822291780724012,-0.5438950868534806,-0.6940227272946176,-0.825568465869509,-0.9334298928695031,-1.0147531898432967,-1.0687548323803082,-1.0961861510242163,-1.0986668812931506,-1.0780830616589194,-1.0361506068092339,-0.9741812875221887,-0.8930802030678251,-0.7935981762862003,-0.6767941161643543,-0.5445461627961734,-0.39988660794814535,-0.24699486130935067,-0.09087200643068138,0.06311135923056588,0.20956065914287114,0.34316476951716607,0.4586363156447533,0.5507454908094227,0.614732832818486",1
172,"-0.15293801675420815,-0.14113619565755042,-0.12964187442398312,-0.1189575680855004,-0.10886415285209439,-0.09872202387585549,-0.08812310997616724,-0.07713753074088797,-0.06656543099659923,-0.058632355762268995,-0.05601396747119458,-0.05848538801992487,-0.06247384216438401,-0.06478368040582061,-0.06375751885040593,-0.05778463829142794,-0.04626395202851086,-0.031197397936471027,-0.01585131996699285,-0.00207081329874248,0.010677529450069057,0.023989014047956836,0.03857688423665068,0.05364909825314429,0.06797356605756161,0.08080620005955014,0.09170107917816944,0.10067372094522681,0.10889507698596224,0.11815034657639589,0.12925263265866122,0.1414649853397184,0.15354102761275956,0.1649557724603461,0.17595644366295776,0.186977244651373,0.19841586287474433,0.210402091646691,0.22240241433425006,0.23344756796365607,0.24302225042808778,0.25145653142424523,0.25928862035935535,0.2665027980309438,0.27236019077116413,0.2759964705311846,0.277419077625364,0.27730674396686006,0.2756740139897397,0.27270261390588135,0.27090223045528894,0.27282795088075906,0.2766641799245736,0.2767718628972359,0.2673190394750605,0.24410449544731394,0.20418727150933647,0.14284329384962124,0.05050959345448558,-0.08027825721470228,-0.24131592387692735,-0.4113695873038443,-0.5706859508804272,-0.7030864540345227,-0.7914388867750209,-0.8175446466491193,-0.7642654652349482,-0.6276057895385391,-0.4418624450656471,-0.2787550720388111,-0.19243522074638286,-0.1765254789364441,-0.19264555561185037,-0.21679279010641872,-0.24582779297571677,-0.28064870738882464,-0.3155704164186366,-0.3391520462506463,-0.3407687921484016,-0.3168712027329422,-0.2734628381902132,-0.22223747770977198,-0.17241705380743388,-0.12669741464882112,-0.08477871819530725,-0.04834511198657143,-0.02082217854406876,-0.003180946713345234,0.009329278549172315,0.02653447667075093,0.05746036249542996,0.10542469257826692,0.16981401163351562,0.24743217849983523,0.33057761963307675,0.4098459488696171,0.48025344530518077,0.5418049485185554,0.59458972619301,0.6339545224145517",3
142,"0.2224136859940784,0.24320315583796448,0.2643491397660239,0.2848151645868833,0.3041269640253803,0.3228445895797286,0.3419832642136902,0.3616701865636631,0.3809776393278972,0.39949040438944117,0.4175883766625538,0.4347048837299392,0.4499786584026425,0.4650115695154319,0.4828204690967195,0.5035920692376347,0.5243716102343634,0.5432906607879365,0.5612497877820163,0.5789761377425864,0.5946700733348277,0.6049737477556814,0.606723938097788,0.5975665748731029,0.5761385833695101,0.5417665982632074,0.49297636725897365,0.42677323500813436,0.34156125410634697,0.24182719678347508,0.13822753260746612,0.04210941390670159,-0.03894615560946152,-0.10080444045955611,-0.14228161449865878,-0.1680288767327564,-0.18827942025128397,-0.2125081148471032,-0.2446836198703023,-0.283813333396724,-0.32645440013597593,-0.3689980707448579,-0.4090640689002377,-0.44698644671333365,-0.4888984011864823,-0.54624682471691,-0.6282439220940959,-0.7353846964516972,-0.8599518271838198,-0.9883120242224352,-1.1035744055898413,-1.1926532901240785,-1.250577836284842,-1.2781824942449154,-1.278709351444037,-1.2559991281568208,-1.2139562845742415,-1.1507391611407183,-1.0527092423310305,-0.9069336179839597,-0.7240936351869363,-0.5421511468539999,-0.40345671963331964,-0.3286500642410941,-0.3142050699768961,-0.3492769911582938,-0.42314496074986363,-0.516642952032355,-0.6011485303009363,-0.653639835429146,-0.668319755239604,-0.651266045154855,-0.6081848632885675,-0.5414859186005415,-0.45626756949263236,-0.36317713496510806,-0.27401884178624725,-0.19571223378295488,-0.12778787035495753,-0.06477310067055253,-0.000628282462578289,0.06882942032423478,0.14546207120167698,0.22835455724618248,0.313819342391396,0.39651930755868436,0.47187867318610166,0.539867566529528,0.6063637389531658,0.6785646818601465,0.7579043289207612,0.8381537277286389,0.9120662482082446,0.9796723855870302,1.0481541925591498,1.1235517887872701,1.2048037102917384,1.2859463882424778,1.360013006106395,1.4172545227270552",2
